Name,Variation,Type1,Type2,Total,HP,Attack,Defense,SpAtk,SpDef,Speed
Bulbasaur,,Grass,Poison,318,45,49,49,65,65,45
Ivysaur,,Grass,Poison,405,60,62,63,80,80,60
Venusaur,,Grass,Poison,525,80,82,83,100,100,80
Venusaur,Mega ,Grass,Poison,625,80,100,123,122,120,80
Charmander,,Fire,,309,39,52,43,60,50,65
Charmeleon,,Fire,,405,58,64,58,80,65,80
Charizard,,Fire,Flying,534,78,84,78,109,85,100
Charizard,Mega X,Fire,Dragon,634,78,130,111,130,85,100
Charizard,Mega Y,Fire,Flying,634,78,104,78,159,115,100
Squirtle,,Water,,314,44,48,65,50,64,43
Wartortle,,Water,,405,59,63,80,65,80,58
Blastoise,,Water,,530,79,83,100,85,105,78
Blastoise,Mega,Water,,630,79,103,120,135,115,78
Caterpie,,Bug,,195,45,30,35,20,20,45
Metapod,,Bug,,205,50,20,55,25,25,30
Butterfree,,Bug,Flying,395,60,45,50,90,80,70
Weedle,,Bug,Poison,195,40,35,30,20,20,50
Kakuna,,Bug,Poison,205,45,25,50,25,25,35
Beedrill,,Bug,Poison,395,65,90,40,45,80,75
Beedrill,Mega,Bug,Poison,495,65,150,40,15,80,145
Pidgey,,Normal,Flying,251,40,45,40,35,35,56
Pidgeotto,,Normal,Flying,349,63,60,55,50,50,71
Pidgeot,,Normal,Flying,479,83,80,75,70,70,101
Pidgeot,Mega ,Normal,Flying,579,83,80,80,135,80,121
Rattata,,Normal,,253,30,56,35,25,35,72
Rattata,Alolan,Dark,Normal,253,30,56,35,25,35,72
Raticate,,Normal,,413,55,81,60,50,70,97
Raticate,Alolan ,Dark,Normal,413,75,71,70,40,80,77
Spearow,,Normal,Flying,262,40,60,30,31,31,70
Fearow,,Normal,Flying,442,65,90,65,61,61,100
Ekans,,Poison,,288,35,60,44,40,54,55
Arbok,,Poison,,448,60,95,69,65,79,80
Pikachu,,Electric,,320,35,55,40,50,50,90
Pikachu,Partner ,Electric,,430,45,80,50,75,60,120
Raichu,,Electric,,485,60,90,55,90,80,110
Raichu,Alolan ,Electric,Psychic,485,60,85,50,95,85,110
Sandshrew,,Ground,,300,50,75,85,20,30,40
Sandshrew,Alolan ,Ice,Steel,300,50,75,90,10,35,40
Sandslash,,Ground,,450,75,100,110,45,55,65
Sandslash,Alolan ,Ice,Steel,450,75,100,120,25,65,65
Nidoran,Female,Poison,,275,55,47,52,40,40,41
Nidorina,,Poison,,365,70,62,67,55,55,56
Nidoqueen,,Poison,Ground,505,90,92,87,75,85,76
Nidoran,Male,Poison,,273,46,57,40,40,40,50
Nidorino,,Poison,,365,61,72,57,55,55,65
Nidoking,,Poison,Ground,505,81,102,77,85,75,85
Clefairy,,Fairy,,323,70,45,48,60,65,35
Clefable,,Fairy,,483,95,70,73,95,90,60
Vulpix,,Fire,,299,38,41,40,50,65,65
Vulpix,Alolan ,Ice,,299,38,41,40,50,65,65
Ninetales,,Fire,,505,73,76,75,81,100,100
Ninetales,Alolan ,Ice,Fairy,505,73,67,75,81,100,109
Jigglypuff,,Normal,Fairy,270,115,45,20,45,25,20
Wigglytuff,,Normal,Fairy,435,140,70,45,85,50,45
Zubat,,Poison,Flying,245,40,45,35,30,40,55
Golbat,,Poison,Flying,455,75,80,70,65,75,90
Oddish,,Grass,Poison,320,45,50,55,75,65,30
Gloom,,Grass,Poison,395,60,65,70,85,75,40
Vileplume,,Grass,Poison,490,75,80,85,110,90,50
Paras,,Bug,Grass,285,35,70,55,45,55,25
Parasect,,Bug,Grass,405,60,95,80,60,80,30
Venonat,,Bug,Poison,305,60,55,50,40,55,45
Venomoth,,Bug,Poison,450,70,65,60,90,75,90
Diglett,,Ground,,265,10,55,25,35,45,95
Diglett,Alolan ,Ground,Steel,265,10,55,30,35,45,90
Dugtrio,,Ground,,425,35,100,50,50,70,120
Dugtrio,Alolan ,Ground,Steel,425,35,100,60,50,70,110
Meowth,,Normal,,290,40,45,35,40,40,90
Meowth,Alolan ,Dark,,290,40,35,35,50,40,90
Meowth,Galarian ,Steel,,290,50,65,55,40,40,40
Persian,,Normal,,440,65,70,60,65,65,115
Persian,Alolan ,Dark,,440,65,60,60,75,65,115
Psyduck,,Water,,320,50,52,48,65,50,55
Golduck,,Water,,500,80,82,78,95,80,85
Mankey,,Fighting,,305,40,80,35,35,45,70
Primeape,,Fighting,,455,65,105,60,60,70,95
Growlithe,,Fire,,350,55,70,45,70,50,60
Arcanine,,Fire,,555,90,110,80,100,80,95
Poliwag,,Water,,300,40,50,40,40,40,90
Poliwhirl,,Water,,385,65,65,65,50,50,90
Poliwrath,,Water,Fighting,510,90,95,95,70,90,70
Abra,,Psychic,,310,25,20,15,105,55,90
Kadabra,,Psychic,,400,40,35,30,120,70,105
Alakazam,,Psychic,,500,55,50,45,135,95,120
